    PID TTY          TIME CMD
 100075 ?        00:00:00 kworker/5:1-mm_percpu_wq
 100142 ?        00:00:00 kworker/7:2-events
 100191 ?        00:00:00 kworker/u16:3-ext4-rsv-conversion
 100198 ?        00:00:00 kworker/2:1-events
 100209 ?        00:00:00 kworker/0:0-events
 100292 ?        00:00:00 kworker/4:1-events
 100414 ?        00:00:00 kworker/1:1-rcu_gp
 100508 ?        00:00:00 kworker/3:1-events
 100557 ?        00:00:00 kworker/7:0-events
 100558 ?        00:00:00 kworker/0:3-kec_query
 100559 ?        00:00:00 kworker/u16:2-events_unbound
 100583 ?        00:00:00 kworker/2:0-pm
 100700 ?        00:00:00 Web Content
 100751 ?        00:00:00 Web Content
 100780 ?        00:00:00 kworker/3:0-mm_percpu_wq
 100802 ?        00:00:00 kworker/1:2-events
 100814 ?        00:00:00 kworker/u16:4-events_unbound
 100815 ?        00:00:00 kworker/u16:5-events_unbound
 100816 ?        00:00:00 kworker/u16:6-events_unbound
 100818 ?        00:00:00 kworker/u16:7-events_unbound
 100819 ?        00:00:00 kworker/u16:8-events_unbound
 100820 ?        00:00:00 kworker/u16:9-events_unbound
 100821 ?        00:00:00 kworker/u16:10-events_unbound
 100822 ?        00:00:00 kworker/u16:11-events_unbound
 100823 ?        00:00:00 kworker/u16:12-events_unbound
 100824 ?        00:00:00 kworker/u16:13-events_unbound
 100825 ?        00:00:00 kworker/u16:14-events_unbound
 100826 ?        00:00:00 kworker/u16:15-events_unbound
 100827 ?        00:00:00 kworker/u16:16-events_unbound
 100828 ?        00:00:00 kworker/u16:17-flush-259:0
 100829 ?        00:00:00 kworker/u16:18-events_unbound
 100830 ?        00:00:00 kworker/u16:19-events_unbound
 100831 ?        00:00:00 kworker/u16:20-events_power_efficient
 100832 ?        00:00:00 kworker/u16:21-nvme-wq
 100833 ?        00:00:00 kworker/u16:22-events_unbound
 100834 ?        00:00:00 kworker/u16:23-flush-259:0
 100835 ?        00:00:00 kworker/u16:24-events_unbound
 100836 ?        00:00:00 kworker/u16:25-events_unbound
 100837 ?        00:00:00 kworker/u16:26-events_unbound
 100838 ?        00:00:00 kworker/u16:27-events_unbound
 100839 ?        00:00:00 kworker/u16:28-events_unbound
 100840 ?        00:00:00 kworker/u16:29-events_unbound
 100841 ?        00:00:00 kworker/u16:30-events_unbound
 100842 ?        00:00:00 kworker/u16:31-events_unbound
 100843 ?        00:00:00 kworker/u16:32-events_unbound
 100844 ?        00:00:00 kworker/u16:33-events_unbound
 100845 ?        00:00:00 kworker/u16:34-events_unbound
 100846 ?        00:00:00 kworker/u16:35-events_unbound
 100847 ?        00:00:00 kworker/u16:36-events_unbound
 100848 ?        00:00:00 kworker/u16:37-events_unbound
 100849 ?        00:00:00 kworker/u16:38-events_unbound
 100850 ?        00:00:00 kworker/u16:39-events_unbound
 100851 ?        00:00:00 kworker/u16:40-events_unbound
 100852 ?        00:00:00 kworker/u16:41-events_unbound
 100853 ?        00:00:00 kworker/u16:42-events_unbound
 100854 ?        00:00:00 kworker/u16:43-events_unbound
 100855 ?        00:00:00 kworker/u16:44-events_unbound
 100856 ?        00:00:00 kworker/u16:45-events_unbound
 100857 ?        00:00:00 kworker/u16:46-events_unbound
 100858 ?        00:00:00 kworker/u16:47-events_unbound
 100859 ?        00:00:00 kworker/u16:48-events_unbound
 100860 ?        00:00:00 kworker/u16:49-events_unbound
 100861 ?        00:00:00 kworker/u16:50-events_unbound
 100862 ?        00:00:00 kworker/u16:51-events_unbound
 100863 ?        00:00:00 kworker/u16:52-events_unbound
 100864 ?        00:00:00 kworker/u16:53-events_unbound
 100865 ?        00:00:00 kworker/u16:54-events_unbound
 100866 ?        00:00:00 kworker/u16:55-events_unbound
 100867 ?        00:00:00 kworker/u16:56-events_unbound
 100868 ?        00:00:00 kworker/u16:57-events_unbound
 100869 ?        00:00:00 kworker/u16:58-events_unbound
 100870 ?        00:00:00 kworker/u16:59-events_unbound
 100871 ?        00:00:00 kworker/u16:60-events_unbound
 100872 ?        00:00:00 kworker/u16:61-events_unbound
 100873 ?        00:00:00 kworker/u16:62-events_unbound
 100874 ?        00:00:00 kworker/u16:63-events_unbound
 100875 ?        00:00:00 kworker/u16:64-events_unbound
 100876 ?        00:00:00 kworker/u16:65-events_unbound
 100877 ?        00:00:00 kworker/u16:66-events_unbound
 100878 ?        00:00:00 kworker/u16:67-events_unbound
 100879 ?        00:00:00 irq/148-mei_me
 100880 ?        00:00:00 kworker/2:3-pm
 100881 ?        00:00:00 kworker/6:1-events
 100882 ?        00:00:00 kworker/2:4-events
 100883 ?        00:00:00 kworker/4:2-events
 100890 ?        00:00:00 kworker/2:5-events
 100893 ?        00:00:00 kworker/4:3-events
 101011 ?        00:00:00 kworker/u17:2
 101043 ?        00:00:00 gjs
 101120 ?        00:00:00 kworker/5:0
 101145 ?        00:00:00 Web Content
 101208 ?        00:00:00 kworker/7:1-events
 101248 pts/0    00:00:00 ps



ps - list all processes of the current user
ps -e - with the "e" option it list every process of the system


The PID is an unique number that identifies every process running in a system, we can kill processes with that number
